date,timestamp,ticker,open,high,low,close,volume,quantity,tradecount
2018-01-08,09:31:00,ABT,58.85,58.86,58.73,58.82,394943.68,6720,41
2018-01-09,09:32:00,ABT,58.8,58.85,58.76,58.76,328965.05,5595,44
2018-01-10,09:33:00,ABT,58.78,58.82,58.78,58.78,582073.95,9900,79
2018-01-11,09:34:00,ABT,58.78,58.83,58.78,58.83,448740.37,7631,60
2018-01-12,09:35:00,ABT,58.84,58.93,58.82,58.89,793284.9,13474,94
2018-01-13,09:36:00,ABT,58.9,58.91,58.86,58.91,592092.23,10054,62
2018-01-14,09:37:00,ABT,58.9,58.91,58.87,58.87,324436.21,5510,44
2018-01-15,09:38:00,ABT,58.86,58.87,58.78,58.78,495596.34,8426,68
